02000US1 |1 |Northeast |B17001 |1 |Total: |53,147,002 |+/-8,533 |53,138,469 |53,155,535 |5,188
02000US1 |1 |Northeast |B17001 |2 |Income in the past 12 months below poverty level: |6,197,303 |+/-57,344 |6,139,959 |6,254,647 |34,859
02000US1 |1 |Northeast |B17001 |3 |Male: |2,662,395 |+/-31,329 |2,631,066 |2,693,724 |19,045
02000US1 |1 |Northeast |B17001 |4 |Under 5 years |303,813 |+/-9,988 |293,825 |313,801 |6,071
02000US1 |1 |Northeast |B17001 |5 |5 years |61,337 |+/-4,097 |57,240 |65,434 |2,491
02000US1 |1 |Northeast |B17001 |6 |6 to 11 years |323,563 |+/-9,374 |314,189 |332,937 |5,699
02000US1 |1 |Northeast |B17001 |7 |12 to 14 years |159,860 |+/-7,204 |152,656 |167,064 |4,379
02000US1 |1 |Northeast |B17001 |8 |15 years |55,933 |+/-3,356 |52,577 |59,289 |2,040
02000US1 |1 |Northeast |B17001 |9 |16 and 17 years |109,569 |+/-5,392 |104,177 |114,961 |3,278
02000US1 |1 |Northeast |B17001 |10 |18 to 24 years |358,651 |+/-10,560 |348,091 |369,211 |6,420
02000US1 |1 |Northeast |B17001 |11 |25 to 34 years |293,946 |+/-9,162 |284,784 |303,108 |5,570
02000US1 |1 |Northeast |B17001 |12 |35 to 44 years |297,789 |+/-9,868 |287,921 |307,657 |5,999
02000US1 |1 |Northeast |B17001 |13 |45 to 54 years |285,323 |+/-7,512 |277,811 |292,835 |4,566
02000US1 |1 |Northeast |B17001 |14 |55 to 64 years |200,829 |+/-6,517 |194,312 |207,346 |3,962
02000US1 |1 |Northeast |B17001 |15 |65 to 74 years |116,639 |+/-5,915 |110,724 |122,554 |3,596
02000US1 |1 |Northeast |B17001 |16 |75 years and over |95,143 |+/-3,495 |91,648 |98,638 |2,125
02000US1 |1 |Northeast |B17001 |17 |Female: |3,534,908 |+/-35,412 |3,499,496 |3,570,320 |21,527
02000US1 |1 |Northeast |B17001 |18 |Under 5 years |296,419 |+/-8,395 |288,024 |304,814 |5,103
02000US1 |1 |Northeast |B17001 |19 |5 years |51,623 |+/-3,927 |47,696 |55,550 |2,387
02000US1 |1 |Northeast |B17001 |20 |6 to 11 years |311,763 |+/-8,928 |302,835 |320,691 |5,427
02000US1 |1 |Northeast |B17001 |21 |12 to 14 years |153,748 |+/-6,160 |147,588 |159,908 |3,745
02000US1 |1 |Northeast |B17001 |22 |15 years |55,578 |+/-3,015 |52,563 |58,593 |1,833
02000US1 |1 |Northeast |B17001 |23 |16 and 17 years |109,495 |+/-5,347 |104,148 |114,842 |3,251
02000US1 |1 |Northeast |B17001 |24 |18 to 24 years |477,706 |+/-13,509 |464,197 |491,215 |8,212
02000US1 |1 |Northeast |B17001 |25 |25 to 34 years |487,910 |+/-10,307 |477,603 |498,217 |6,266
02000US1 |1 |Northeast |B17001 |26 |35 to 44 years |449,822 |+/-8,812 |441,010 |458,634 |5,357
02000US1 |1 |Northeast |B17001 |27 |45 to 54 years |366,532 |+/-8,488 |358,044 |375,020 |5,160
